user,created_at,text
musik_point,Sat Oct 21 09:12:42 +0000 2017,"Redih gitar boobok
#limitedstock
Original #guitarpoint 
.
Idr:? https://t.co/OQyejYebJH"
musik_point,Sat Oct 21 09:11:08 +0000 2017,"Redih gitar boobok
#limitedstock
Original #guitarpoint 
.
Idr:? https://t.co/3p6e7wRZoB"
naaprilianti,Sat Oct 21 09:08:21 +0000 2017,At @srg_ap1 ? https://t.co/iqSXiquz4T
fadhil_gaza,Sat Oct 21 09:03:59 +0000 2017,At Ballroom UTC [pic] ? https://t.co/M1ycnoCpOi
musik_point,Sat Oct 21 09:02:01 +0000 2017,Just posted a photo @ MUSIC POINT https://t.co/uXmOHxomhU
fenisukoco,Sat Oct 21 08:59:42 +0000 2017,"I love this shake ??
.
.
.
#fenipregnant_story 
#dietbumil 
#dietmulaibesok 
#dietsemarang? https://t.co/5KvM9HJvHU"
ihsannurhadi,Sat Oct 21 08:59:04 +0000 2017,"One Sunny Day at Guangzhou Temple ?? (wkwk ga deng)
?
The Sam Poo Kong Temple, also known as? https://t.co/sKoU3cFVoz"
egijuniar07,Sat Oct 21 08:56:39 +0000 2017,"Mandiri Karnaval Semarang ?
#mandirian @ Semarang jawa tengah https://t.co/wUz51hADyO"
vithasyarii,Sat Oct 21 08:51:40 +0000 2017,With Siti  at @clsemarang ? https://t.co/VskkzT4bIx
astrid_ratna,Sat Oct 21 08:49:24 +0000 2017,"Ternyata uban ngga bisa ditutupi......hahahahahaha
#westuwo
#senyuminajah 
#kalemTid @ Bigbox? https://t.co/U37XXEBXDm"
melindaafn,Sat Oct 21 08:45:10 +0000 2017,With Fenty Dwi at Hotel Pantes By CityOne Semarang ? https://t.co/WkacYrRMHT
anggarinzanie,Sat Oct 21 08:22:51 +0000 2017,"Ingatkah Kita by The Potters (with Kiki The Potters, Abed, and Niko at RRI Semarang) ? https://t.co/UcjpTSMUvQ"
aburamiza,Sat Oct 21 08:21:12 +0000 2017,"Mendidik Anak adalah Jihad 
#anak #mendidikanak #jihad @ Karangmanyar, Kalimanah, Purbalingga,? https://t.co/jPIwhp4Z15"
AndovidaLopez,Sat Oct 21 08:09:24 +0000 2017,Thank you FEB UNDIP Semarang for inviting me as a representative from #SkinnyIndonesian24 to? https://t.co/oUs4E22upn
anitastyaningrm,Sat Oct 21 08:07:20 +0000 2017,At AIRA Skin Clinic ? https://t.co/ltRQ4vljzh
mayrinashima,Sat Oct 21 08:05:50 +0000 2017,At Museum Ronggowarsito [pic] ? https://t.co/fGip2Id5l3
isharliz,Sat Oct 21 08:05:11 +0000 2017,"With Kereta at ""Supercars"" [pic] ? https://t.co/I46pR0YZrK"
Ningnining94,Sat Oct 21 07:59:52 +0000 2017,At Pasar Swalayan ADA ? https://t.co/T7f1017uH5
aninditakumalan,Sat Oct 21 07:59:36 +0000 2017,At Solchic Tembalang ? https://t.co/iOIRrTqXpg
DyrianaBakery,Sat Oct 21 07:58:53 +0000 2017,"Selamat sore sahabat Dyriana bakery&amp;cafe. Ada menu masakan baru dari kami, ?Terong Crispy? https://t.co/Afby8PZHcr"
NanieeWidya,Sat Oct 21 07:52:44 +0000 2017,"Nggeprek sore2.....
@upload_kompakan #uploadkompakan#ukkeluargabarukmb#ayamgeprek#ayampedes @? https://t.co/2RYT7Hskr9"
megaadeliam,Sat Oct 21 07:49:56 +0000 2017,At @santikahotels ? https://t.co/pbrZ3tnOwM
chilla_0401,Sat Oct 21 07:44:32 +0000 2017,"Nemenin yg minggu depan statusnya udah berubah
Ngilangin stress? https://t.co/6AKTPxLU89"
nandadest,Sat Oct 21 07:43:03 +0000 2017,Happy Saturday ?? @ Lawang Sewu Semarang https://t.co/1MjIF5tdvo
abramarry,Sat Oct 21 07:27:39 +0000 2017,"tadi malem pas perform di acara ""Become a Friend"" bersama? https://t.co/1qqooLIDG3"
rizachakartika,Sat Oct 21 07:26:51 +0000 2017,"Dikira sombong, ternyata ramah banget ?
#andovidalopez @ Bandara International Ahmad Yani Semarang https://t.co/3onXzEkbUV"
uLfapetaLs,Sat Oct 21 07:25:01 +0000 2017,"?In the end, only three things matter: How much you loved, how gently you lived, and how? https://t.co/CKVwu3mVor"
LelenKurnia,Sat Oct 21 07:23:59 +0000 2017,At @srg_ap1 ? https://t.co/abLQoc6K8X
Derry_Fahrizal,Sat Oct 21 07:17:02 +0000 2017,"Setiap masa ada pemimpinnya, setiap pemimpin ada masanya...

#yukdukung 

?: @syamimdzdini @? https://t.co/kaYg2vM2mU"
DyrianaBakery,Sat Oct 21 07:15:41 +0000 2017,"Selamat siang sahabat Dyriana bakery&amp;cafe. Ada menu masakan baru dari kami, ?Terong Crispy? https://t.co/e1RRPi4zbv"
M3I_L1NA,Sat Oct 21 07:13:43 +0000 2017,At Jl Kendeng Barat 3 [pic] ? https://t.co/B590gPm61n
liestianti18,Sat Oct 21 07:00:15 +0000 2017,Just posted a photo @ Sam Poo Koong https://t.co/THkX30sCWE
Ningnining94,Sat Oct 21 06:47:27 +0000 2017,At RS William Booth ? https://t.co/68JV21j8Wx
vhieya_Ordinary,Sat Oct 21 06:44:23 +0000 2017,"Mari di Order Kemeja dan Kaos Xpander nya ..  Murah aja ..
nunggu? https://t.co/L5bMZ1LCDD"
Vonnyolabelia,Sat Oct 21 06:42:46 +0000 2017,At Soto Ayam &amp; Ayam Goreng Bangkong ? https://t.co/XVRQUHASQo
